"03 ,Attempts/threats to murder, assaults, harassments and related offences","Blackrock, Co Cork, Cork City Division",37,34,57,38,35,50,18
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Blackrock, Co Dublin, D.M.R. Eastern Division",59,58,44,69,59,68,44
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Blackrock, Co Louth, Louth Division",19,7,15,19,15,7,5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Blackwater, Wexford Division",3,5,4,4,3,6,2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Blanchardstown, D.M.R. Western Division",265,336,207,188,226,202,131
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Blarney, Cork City Division",44,37,32,19,22,34,5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Blessington, Wicklow Division",34,19,17,34,33,19,16
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Boherbue, Cork West Division",4,2,2,4,4,2,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Bonniconlon, Mayo Division",1,3,5,3,4,5,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Borris, Kilkenny/Carlow Division",3,9,4,1,15,7,3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Borris-In-Ossory, Laois/Offaly Division",2,2,3,2,0,4,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Borrisokane, Tipperary Division",6,4,4,3,7,2,0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Borrisoleigh, Tipperary Division",3,3,5,3,3,9,2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Bothar Na Tra, Galway Division",58,66,45,59,47,51,25
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Boyle, Roscommon/Longford Division",23,18,20,14,20,16,6
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Bray, Wicklow Division",157,168,147,117,134,128,59
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Bridewell Cork, Cork City Division",89,108,134,120,177,170,88
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Bridewell Dublin, D.M.R. North Central Division",117,117,106,119,127,132,64
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Bruff, Limerick Division",10,14,7,6,10,5,2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Bruree, Limerick Division",8,9,5,12,4,3,3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Bunclody, Wexford Division",22,25,27,15,12,9,3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Buncrana, Donegal Division",76,68,65,60,52,61,25
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Bundoran, Donegal Division",27,31,37,22,31,35,12
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Burnfoot, Donegal Division",13,13,10,8,14,12,6
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Buttevant, Cork North Division",7,12,4,5,17,21,4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cabinteely, D.M.R. Eastern Division",58,49,47,60,84,74,26
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cabra, D.M.R. Western Division",189,90,64,55,65,38,20
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Caherciveen, Kerry Division",26,19,29,24,15,21,7
